source_file,month,crop_year,calendar_year,as_of_date,State Code,County Code,Crop Code,State,County,State County Code,Crop,Crop Type,Intended Use,Irrigation Practice,Planted Acres,Volunteer Acres,Failed Acres,Prevented Acres,Not Planted Acres,Planted and Failed Acres,crop_normalized
2026_September_2026.zip,September,2026,2026,2026-09-01,01,001,0021,Alabama,Autauga,1001,"COTTON, UPLAND",,Blank,I,1164,0,0,0,0,1164,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,001,0021,Alabama,Autauga,1001,"COTTON, UPLAND",,Blank,N,8519.84,0,0,326.17,0,8519.84,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,003,0021,Alabama,Baldwin,1003,"COTTON, UPLAND",,Blank,I,41.94,0,0,0,0,41.94,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,003,0021,Alabama,Baldwin,1003,"COTTON, UPLAND",,Blank,N,7007.15,0,0,115.55,0,7007.15,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,005,0021,Alabama,Barbour,1005,"COTTON, UPLAND",,Blank,I,1595.73,0,0,0,0,1595.73,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,005,0021,Alabama,Barbour,1005,"COTTON, UPLAND",,Blank,N,3205.95,0,0,125.36,0,3205.95,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,009,0021,Alabama,Blount,1009,"COTTON, UPLAND",,Blank,I,124.6,0,0,0,0,124.6,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,009,0021,Alabama,Blount,1009,"COTTON, UPLAND",,Blank,N,1988.26,0,189.95,0,0,2178.21,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,011,0021,Alabama,Bullock,1011,"COTTON, UPLAND",,Blank,N,673.14,0,0,386.96,0,673.14,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,013,0021,Alabama,Butler,1013,"COTTON, UPLAND",,Blank,N,1035.82,0,0,0,0,1035.82,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,015,0021,Alabama,Calhoun,1015,"COTTON, UPLAND",,Blank,I,131.78,0,0,0,0,131.78,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,015,0021,Alabama,Calhoun,1015,"COTTON, UPLAND",,Blank,N,3557.17,44.46,0,583.52,0,3557.17,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,017,0021,Alabama,Chambers,1017,"COTTON, UPLAND",,Blank,N,373.2,0,0,0,0,373.2,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,019,0021,Alabama,Cherokee,1019,"COTTON, UPLAND",,Blank,I,789.22,0,0,0,0,789.22,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,019,0021,Alabama,Cherokee,1019,"COTTON, UPLAND",,Blank,N,26658.71,0,579.46,918.93,0,27238.17,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,023,0021,Alabama,Choctaw,1023,"COTTON, UPLAND",,Blank,N,583.78,0,0,0,0,583.78,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,025,0021,Alabama,Clarke,1025,"COTTON, UPLAND",,Blank,N,235.1,0,0,0,0,235.1,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,027,0021,Alabama,Clay,1027,"COTTON, UPLAND",,Blank,N,241.63,0,0,0,0,241.63,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,031,0021,Alabama,Coffee,1031,"COTTON, UPLAND",,Blank,I,299.2,0,0,0,0,299.2,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,031,0021,Alabama,Coffee,1031,"COTTON, UPLAND",,Blank,N,12481.29,0,0,0,0,12481.29,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,033,0021,Alabama,Colbert,1033,"COTTON, UPLAND",,Blank,I,298.8,0,0,0,0,298.8,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,033,0021,Alabama,Colbert,1033,"COTTON, UPLAND",,Blank,N,4389.17,0,0,0,0,4389.17,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,035,0021,Alabama,Conecuh,1035,"COTTON, UPLAND",,Blank,N,3662.68,0,0,0,0,3662.68,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,039,0021,Alabama,Covington,1039,"COTTON, UPLAND",,Blank,N,14686.41,0,0,49.2,0,14686.41,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,041,0021,Alabama,Crenshaw,1041,"COTTON, UPLAND",,Blank,N,852.7,0,0,0,0,852.7,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,043,0021,Alabama,Cullman,1043,"COTTON, UPLAND",,Blank,N,300,0,0,0,0,300,"Cotton, Upland"
2026_September_2026.zip,September,2026,2026,2026-09-01,01,045,0021,Alabama,Dale,1045,"COTTON, UPLAND",,Blank,I,1025.18,0,0,0,0,1025.18,"Cotton, Upland"
